Time Serie,EU/US,SWD/US
2001-03-01,1.0763,9.7325
2001-03-02,1.0707,9.682
2001-03-05,1.0765,9.745
2001-03-06,1.0738,9.673
2001-03-07,1.0783,9.752
2001-03-08,1.0775,9.746
2001-03-09,1.0735,9.7575
2001-03-12,1.0753,9.83
2001-03-13,1.0931,10.0135
2001-03-14,1.0949,10.0101
2001-03-15,1.1055,10.098
2001-03-16,1.1199,10.249
2001-03-19,1.113,10.195
2001-03-20,1.1045,10.126
2001-03-21,1.1148,10.254
2001-03-22,1.126,10.43
2001-03-23,1.1203,10.253
2001-03-26,1.1167,10.222
2001-03-27,1.1223,10.237
2001-03-28,1.1259,10.341
2001-03-29,1.1355,10.4075
2001-03-30,1.1371,10.38
2001-04-02,1.1333,10.385
2001-04-03,1.1198,10.272
2001-04-04,1.1095,10.234
2001-04-05,1.1141,10.191
2001-04-06,1.1109,10.115
2001-04-09,1.1094,10.131
2001-04-10,1.1256,10.175
2001-04-11,1.1292,10.21
2001-04-12,1.1208,10.128
2001-04-13,1.1251,10.175
2001-04-16,1.1284,10.193
2001-04-17,1.1346,10.2902
2001-04-18,1.1343,10.28
2001-04-19,1.1225,10.137
2001-04-20,1.1072,10.082
2001-04-23,1.1161,10.212
2001-04-24,1.1178,10.253
2001-04-25,1.1146,10.223
2001-04-26,1.1098,10.1345
2001-04-27,1.1206,10.1925
2001-04-30,1.1269,10.26
2001-05-01,1.1189,10.208
2001-05-02,1.1204,10.236
2001-05-03,1.1247,10.27
2001-05-04,1.1193,10.2
2001-05-07,1.1216,10.236
2001-05-08,1.1302,10.293
2001-05-09,1.1306,10.284
2001-05-10,1.1374,10.29
2001-05-11,1.1417,10.258
2001-05-14,1.1431,10.325
2001-05-15,1.1379,10.253
2001-05-16,1.131,10.268
2001-05-17,1.1328,10.223
2001-05-18,1.1397,10.25
2001-05-21,1.1413,10.2425
2001-05-22,1.1551,10.37
2001-05-23,1.1631,10.507
2001-05-24,1.1669,10.525
2001-05-25,1.1659,10.535
2001-05-28,ND,ND
2001-05-29,1.17,10.573
2001-05-30,1.166,10.592
2001-05-31,1.1827,10.79
2001-06-01,1.1832,10.851
2001-06-04,1.1836,10.9225
2001-06-05,1.1759,10.83
2001-06-06,1.1832,10.924
2001-06-07,1.1756,10.95
2001-06-08,1.1758,10.935
2001-06-11,1.1869,11.027
2001-06-12,1.1794,11.002
2001-06-13,1.1715,10.79
2001-06-14,1.1631,10.707
2001-06-15,1.159,10.57
2001-06-18,1.1614,10.512
2001-06-19,1.1685,10.626
2001-06-20,1.1756,10.72
2001-06-21,1.1704,10.7435
2001-06-22,1.1669,10.7045
2001-06-25,1.1613,10.642
2001-06-26,1.1597,10.7315
2001-06-27,1.16,10.735
2001-06-28,1.1806,10.85
2001-06-29,1.1801,10.881
2001-07-02,1.1827,10.955
2001-07-03,1.1797,10.87
2001-07-04,ND,ND
2001-07-05,1.1947,11
2001-07-06,1.1813,10.955
2001-07-09,1.1801,10.972
2001-07-10,1.1686,10.84
2001-07-11,1.1609,10.808
2001-07-12,1.1723,10.86
2001-07-13,1.1727,10.813
2001-07-16,1.1697,10.764
2001-07-17,1.1697,10.776
2001-07-18,1.1493,10.605
2001-07-19,1.1507,10.658
2001-07-20,1.1477,10.648
2001-07-23,1.1526,10.718
2001-07-24,1.1426,10.658
2001-07-25,1.1368,10.628
2001-07-26,1.1409,10.618
2001-07-27,1.143,10.59
2001-07-30,1.1429,10.605
2001-07-31,1.1426,10.625
2001-08-01,1.1373,10.572
2001-08-02,1.1347,10.4755
2001-08-03,1.1308,10.373
2001-08-06,1.1361,10.422
2001-08-07,1.1396,10.4355
2001-08-08,1.1392,10.422
2001-08-09,1.1254,10.301
2001-08-10,1.1186,10.2875
2001-08-13,1.1132,10.274
2001-08-14,1.108,10.23
2001-08-15,1.0972,10.156
2001-08-16,1.0943,10.168
2001-08-17,1.0911,10.1725
2001-08-20,1.0957,10.374
2001-08-21,1.0971,10.355
2001-08-22,1.0877,10.2575
2001-08-23,1.091,10.304
2001-08-24,1.097,10.279
2001-08-27,1.0991,10.29
2001-08-28,1.0987,10.325
2001-08-29,1.0993,10.382
2001-08-30,1.0924,10.37
2001-08-31,1.1001,10.431
2001-09-03,ND,ND
2001-09-04,1.1276,10.715
2001-09-05,1.124,10.64
2001-09-06,1.1182,10.585
2001-09-07,1.1057,10.543
2001-09-10,1.1126,10.63
2001-09-11,ND,ND
2001-09-12,1.1027,10.57
2001-09-13,1.1002,10.5585
2001-09-14,1.0871,10.5103
2001-09-17,1.0872,10.4975
2001-09-18,1.0831,10.5522
2001-09-19,1.0741,10.4653
2001-09-20,1.0805,10.5899
2001-09-21,1.099,10.9016
2001-09-24,1.0947,10.8193
2001-09-25,1.0844,10.7032
2001-09-26,1.0833,10.7472
2001-09-27,1.0892,10.7207
2001-09-28,1.099,10.6871
2001-10-01,1.0918,10.6207
2001-10-02,1.093,10.6661
2001-10-03,1.0892,10.6166
2001-10-04,1.094,10.6219
2001-10-05,1.0908,10.5845
2001-10-08,ND,ND
2001-10-09,1.0929,10.526
2001-10-10,1.0967,10.585
2001-10-11,1.1101,10.5575
2001-10-12,1.1016,10.458
2001-10-15,1.1017,10.4485
2001-10-16,1.0996,10.433
2001-10-17,1.1031,10.408
2001-10-18,1.108,10.4625
2001-10-19,1.1127,10.554
2001-10-22,1.1228,10.692
2001-10-23,1.1245,10.652
2001-10-24,1.1204,10.606
2001-10-25,1.1154,10.568
2001-10-26,1.121,10.5825
2001-10-29,1.1066,10.5175
2001-10-30,1.1038,10.622
2001-10-31,1.112,10.671
2001-11-01,1.1057,10.58
2001-11-02,1.1066,10.5758
2001-11-05,1.1157,10.599
2001-11-06,1.1142,10.558
2001-11-07,1.1112,10.4685
2001-11-08,1.1223,10.536
2001-11-09,1.1192,10.5603
2001-11-12,ND,ND
2001-11-13,1.1349,10.624
2001-11-14,1.1326,10.591
2001-11-15,1.1347,10.585
2001-11-16,1.1301,10.602
2001-11-19,1.1388,10.676
2001-11-20,1.1322,10.658
2001-11-21,1.1388,10.6975
2001-11-22,ND,ND
2001-11-23,1.1403,10.668
2001-11-26,1.1349,10.62
2001-11-27,1.1348,10.63
